municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_724301,cnae_724302,cnae_729403,cnae_729404,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2312500,cnae_2449199,cnae_2610800
CORBELIA,410630,Arsênio,PR,60,1,19,39,1,0,1,0.01694915254237288,0,0,0,0,0,0,0,0,0,0,0
CORDEIRO,330150,Arsênio,RJ,6,0,0,3,3,0,3,0.5,0,0,0,0,0,0,0,0,0,1,0
CORDISBURGO,311890,Arsênio,MG,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORINTO,311910,Arsênio,MG,34,5,23,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CORNELIO PROCOPIO,410640,Arsênio,PR,63,2,41,18,2,0,2,0.03278688524590164,0,0,0,0,0,0,0,0,0,0,0
COROADOS,351250,Arsênio,SP,21,8,9,3,1,0,1,0.07692307692307693,0,0,0,0,0,2,0,0,0,0,0
CORONEL BICACO,430590,Arsênio,RS,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL DOMINGOS SOARES,410645,Arsênio,PR,12,0,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CORONEL FREITAS,420440,Arsênio,SC,23,2,5,15,1,0,1,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0
CORONEL MACEDO,351260,Arsênio,SP,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
CORONEL MARTINS,420445,Arsênio,SC,21,2,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Arsênio,MS,15,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CORONEL VIVIDA,410650,Arsênio,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,0,6,0,0,0,0,0
CORONEL XAVIER CHAVES,311970,Arsênio,MG,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CORREGO DANTA,311980,Arsênio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
CORREGO DO OURO,520570,Arsênio,GO,7,2,1,2,2,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0
CORREIA PINTO,420455,Arsênio,SC,32,0,1,27,4,0,4,0.125,0,0,0,0,0,1,0,0,0,0,0
CORUMBA,500320,Arsênio,MS,16,0,10,4,2,0,2,0.125,0,1,0,0,0,3,0,0,0,0,0
CORUMBAIBA,520590,Arsênio,GO,49,9,25,10,5,0,5,0.125,0,0,0,0,0,0,0,0,0,0,0
CORUMBATAI DO SUL,410655,Arsênio,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTEGIPE,290940,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Arsênio,SP,37,0,20,16,1,0,1,0.02702702702702703,0,4,0,0,0,0,0,0,0,1,11
COTIPORA,430595,Arsênio,RS,36,0,33,2,0,1,1,0.027777777777777776,0.027777777777777776,0,0,0,0,0,0,0,0,0,0
COXIM,500330,Arsênio,MS,71,1,45,25,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1
CRATEUS,230410,Arsênio,CE,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAVOLANDIA,290950,Arsênio,BA,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRICIUMA,420460,Arsênio,SC,20,0,2,18,0,0,0,0,0,3,0,0,1,4,0,2,0,6,2
CRISOLITA,312015,Arsênio,MG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISOPOLIS,290960,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
CRISSIUMAL,430600,Arsênio,RS,31,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTAIS,312020,Arsênio,MG,19,10,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTAL,430605,Arsênio,RS,25,0,16,7,1,1,2,0.08,0.04,0,0,0,0,0,0,0,0,0,0
CRISTALANDIA,170610,Arsênio,TO,4,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CRISTALIA,312030,Arsênio,MG,5,5,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,0,0
CRISTALINA,520620,Arsênio,GO,11,3,2,5,1,0,1,0.125,0,2,0,0,1,2,0,0,0,0,0
CRISTIANO OTONI,312040,Arsênio,MG,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTIANOPOLIS,520630,Arsênio,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
CRISTOPOLIS,290970,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
CRIXAS,520640,Arsênio,GO,8,6,1,0,1,0,1,0.5,0,10,1,0,0,0,0,0,0,0,0
CROMINIA,520650,Arsênio,GO,19,0,7,4,8,0,8,0.42105263157894735,0,0,0,0,0,0,0,0,0,0,0
CRUCILANDIA,312060,Arsênio,MG,19,7,6,0,6,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0
CRUZ ALTA,430610,Arsênio,RS,44,0,43,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
CRUZ MACHADO,410680,Arsênio,PR,38,0,20,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CRUZALIA,351330,Arsênio,SP,17,3,7,6,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DA FORTALEZA,312070,Arsênio,MG,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Arsênio,PR,72,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO OESTE,410660,Arsênio,PR,38,0,15,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
CRUZEIRO DO SUL,410670,Arsênio,PR,20,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO SUL,430620,Arsênio,RS,8,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CRUZILIA,312080,Arsênio,MG,31,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZMALTINA,410685,Arsênio,PR,55,1,24,21,9,0,9,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0
CUBATAO,351350,Arsênio,SP,49,3,12,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CUMARI,520660,Arsênio,GO,12,2,4,2,4,0,4,0.4,0,0,0,0,0,0,0,0,0,0,0
CUNHA PORA,420470,Arsênio,SC,20,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNHATAI,420475,Arsênio,SC,36,2,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Arsênio,PA,77,8,30,39,0,0,0,0,0,17,3,0,5,0,0,0,0,1,0
CURITIBA,410690,Arsênio,PR,104,0,66,30,8,0,8,0.07692307692307693,0,25,0,0,3,12,1,4,0,16,124
CURITIBANOS,420480,Arsênio,SC,36,4,2,22,8,0,8,0.25,0,0,0,0,0,0,1,0,0,0,0
CURIUVA,410700,Arsênio,PR,52,0,13,29,10,0,10,0.19230769230769232,0,0,0,0,0,0,0,0,0,0,0
CURRAL DE DENTRO,312087,Arsênio,MG,37,29,5,0,3,0,3,0.375,0,0,0,0,0,0,0,0,0,0,0
CURVELO,312090,Arsênio,MG,99,6,63,28,2,0,2,0.021505376344086023,0,0,0,0,0,2,0,0,0,0,0
DAMIANOPOLIS,520670,Arsênio,GO,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Arsênio,GO,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0
DARIO MEIRA,291000,Arsênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Arsênio,RS,34,2,30,1,1,0,1,0.03125,0,0,0,0,0,0,0,0,0,0,0
DELFINOPOLIS,312120,Arsênio,MG,25,15,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELMIRO GOUVEIA,270240,Arsênio,AL,2,2,0,0,0,0,0,NA,NA,0,0,0,0,4,0,0,0,0,0
DEODAPOLIS,500345,Arsênio,MS,79,0,34,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERRUBADAS,430632,Arsênio,RS,30,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESCANSO,420490,Arsênio,SC,35,0,9,25,1,0,1,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0
DESTERRO DO MELO,312150,Arsênio,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO NORTE,410710,Arsênio,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DIAMANTE DO SUL,410712,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Arsênio,MG,4,4,0,0,0,0,0,NA,NA,26,0,0,1,0,0,0,0,0,0
DIANOPOLIS,170700,Arsênio,TO,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
DIAS D'AVILA,291005,Arsênio,BA,78,64,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1
DILERMANDO DE AGUIAR,430637,Arsênio,RS,19,0,5,4,10,0,10,0.5263157894736842,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Arsênio,SC,29,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DIORAMA,520710,Arsênio,GO,12,5,4,2,1,0,1,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
DIRCE REIS,351385,Arsênio,SP,24,7,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
DIVINO,312200,Arsênio,MG,22,2,12,4,4,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0
DIVINO DAS LARANJEIRAS,312210,Arsênio,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
DIVINO DE SAO LOURENCO,320180,Arsênio,ES,3,0,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
DIVINOLANDIA,351390,Arsênio,SP,66,16,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINOPOLIS,312230,Arsênio,MG,38,10,28,0,0,0,0,0,0,0,0,0,1,7,0,0,0,3,2
DIVINOPOLIS DE GOIAS,520830,Arsênio,GO,8,3,2,2,0,1,1,0.2,0.2,0,0,0,0,0,0,0,0,0,0
DIVISA ALEGRE,312235,Arsênio,MG,14,14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0
DIVISA NOVA,312240,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
DIVISOPOLIS,312245,Arsênio,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Arsênio,RS,152,31,112,9,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
DOIS IRMAOS DO BURITI,500348,Arsênio,MS,27,3,21,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DOIS VIZINHOS,410720,Arsênio,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DOLCINOPOLIS,351420,Arsênio,SP,22,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Arsênio,RS,29,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Arsênio,RS,31,6,22,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
DOM SILVERIO,312270,Arsênio,MG,22,4,14,2,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0
DOMINGOS MARTINS,320190,Arsênio,ES,40,10,2,20,8,0,8,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0
DONA EMMA,420510,Arsênio,SC,20,0,2,14,4,0,4,0.2,0,0,0,0,0,0,1,0,0,0,0
DONA EUSEBIA,312290,Arsênio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
DONA FRANCISCA,430670,Arsênio,RS,26,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORES DO INDAIA,312320,Arsênio,MG,20,11,6,2,1,0,1,0.1111111111111111,0,0,0,0,0,1,0,0,0,0,0
DORES DO RIO PRETO,320200,Arsênio,ES,15,0,0,14,1,0,1,0.06666666666666667,0,0,0,0,0,0,1,0,0,0,0
DOURADINA,410725,Arsênio,PR,60,0,27,31,1,1,2,0.03333333333333333,0.016666666666666666,0,0,0,0,0,0,0,0,0,0
DOURADINA,500350,Arsênio,MS,32,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOURADO,351430,Arsênio,SP,46,1,14,30,1,0,1,0.022222222222222223,0,0,0,0,0,1,1,0,0,0,0
DOURADOS,500370,Arsênio,MS,187,2,172,13,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
DOUTOR CAMARGO,410730,Arsênio,PR,17,0,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0
DOUTOR MAURICIO CARDOSO,430673,Arsênio,RS,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUTOR PEDRINHO,420515,Arsênio,SC,41,0,7,31,3,0,3,0.07317073170731707,0,0,0,0,0,0,0,0,0,0,0
DOVERLANDIA,520725,Arsênio,GO,29,8,9,6,6,0,6,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,0
DUAS BARRAS,330160,Arsênio,RJ,21,0,0,14,7,0,7,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
DUQUE DE CAXIAS,330170,Arsênio,RJ,2,0,0,1,1,0,1,0.5,0,2,0,0,0,9,1,7,3,15,14
DURANDE,312352,Arsênio,MG,10,2,6,1,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0
ECHAPORA,351470,Arsênio,SP,17,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOPORANGA,320210,Arsênio,ES,62,7,0,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
EDEALINA,520735,Arsênio,GO,17,3,5,8,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
EDEIA,520740,Arsênio,GO,16,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELDORADO,351480,Arsênio,SP,104,0,21,55,28,0,28,0.2692307692307692,0,0,0,0,0,0,0,0,0,0,0
ELDORADO,500375,Arsênio,MS,25,0,11,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ELDORADO DOS CARAJAS,150295,Arsênio,PA,16,0,12,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ELIAS FAUSTO,351490,Arsênio,SP,55,0,16,38,1,0,1,0.01818181818181818,0,0,0,0,0,0,0,0,0,1,0
ELISIO MEDRADO,291030,Arsênio,BA,9,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBU-GUACU,351510,Arsênio,SP,47,2,8,25,12,0,12,0.26666666666666666,0,1,0,0,0,0,0,1,0,1,4
EMILIANOPOLIS,351512,Arsênio,SP,21,1,7,12,1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0
ENCANTADO,430680,Arsênio,RS,61,0,59,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ENCRUZILHADA,291040,Arsênio,BA,7,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENCRUZILHADA DO SUL,430690,Arsênio,RS,23,1,21,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENEAS MARQUES,410740,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGENHEIRO BELTRAO,410750,Arsênio,PR,72,0,40,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENGENHEIRO NAVARRO,312380,Arsênio,MG,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS,291050,Arsênio,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1
ENTRE RIOS,420517,Arsênio,SC,14,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DE MINAS,312390,Arsênio,MG,52,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DO SUL,430695,Arsênio,RS,33,2,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENTRE-IJUIS,430693,Arsênio,RS,15,0,3,8,3,1,4,0.26666666666666666,0.06666666666666667,0,0,0,0,0,0,0,0,0,0
EREBANGO,430697,Arsênio,RS,39,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERECHIM,430700,Arsênio,RS,104,3,96,5,0,0,0,0,0,0,0,0,0,10,0,0,0,1,3
ERVAL GRANDE,430720,Arsênio,RS,32,0,30,1,1,0,1,0.03125,0,0,0,0,0,0,2,0,0,0,0
ERVAL SECO,430730,Arsênio,RS,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERVAL VELHO,420520,Arsênio,SC,20,3,4,11,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0
ERVALIA,312400,Arsênio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ESMERALDA,430740,Arsênio,RS,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERA FELIZ,312420,Arsênio,MG,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ESPERANCA NOVA,410752,Arsênio,PR,21,1,10,8,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0
ESPINOSA,312430,Arsênio,MG,25,10,5,0,10,0,10,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0
ESPIRITO SANTO DO PINHAL,351518,Arsênio,SP,26,8,7,11,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2
ESPLANADA,291060,Arsênio,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ESPUMOSO,430750,Arsênio,RS,119,3,106,8,2,0,2,0.017241379310344827,0,0,0,0,0,1,0,0,0,0,1
ESTACAO,430755,Arsênio,RS,71,2,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ESTANCIA VELHA,430760,Arsênio,RS,13,1,10,2,0,0,0,0,0,1,0,0,0,134,0,1,0,3,1
ESTEIO,430770,Arsênio,RS,28,2,24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ESTIVA,312450,Arsênio,MG,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA,430780,Arsênio,RS,149,15,113,11,10,0,10,0.07462686567164178,0,0,0,0,0,1,0,0,0,0,1
ESTRELA D'OESTE,351520,Arsênio,SP,43,13,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO NORTE,351530,Arsênio,SP,25,3,7,13,2,0,2,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO NORTE,520750,Arsênio,GO,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO SUL,312480,Arsênio,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
EUCLIDES DA CUNHA,291070,Arsênio,BA,11,11,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0
EUCLIDES DA CUNHA PAULISTA,351535,Arsênio,SP,47,9,16,17,5,0,5,0.13157894736842105,0,0,0,0,0,0,0,0,0,0,0
EUNAPOLIS,291072,Arsênio,BA,10,6,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1
EXTREMA,312510,Arsênio,MG,17,10,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10
FAGUNDES VARELA,430786,Arsênio,RS,35,0,33,1,1,0,1,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0
FARIA LEMOS,312530,Arsênio,MG,5,0,2,0,3,0,3,0.6,0,1,0,0,0,0,0,0,0,0,0
FAROL,410755,Arsênio,PR,16,0,9,4,3,0,3,0.1875,0,0,0,0,0,0,0,0,0,0,0
FARROUPILHA,430790,Arsênio,RS,92,0,88,4,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0
FARTURA,351540,Arsênio,SP,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATIMA,291075,Arsênio,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
FATIMA DO SUL,500380,Arsênio,MS,44,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAXINAL,410760,Arsênio,PR,21,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAXINAL DO SOTURNO,430800,Arsênio,RS,28,0,8,6,13,1,14,0.5,0.03571428571428571,0,0,0,0,0,0,0,0,0,0
FAXINAL DOS GUEDES,420530,Arsênio,SC,28,0,4,23,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0
FAXINALZINHO,430805,Arsênio,RS,30,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAZENDA NOVA,520760,Arsênio,GO,12,7,3,0,2,0,2,0.4,0,0,1,0,0,0,0,0,0,0,0
FAZENDA RIO GRANDE,410765,Arsênio,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
FEIRA DE SANTANA,291080,Arsênio,BA,8,3,0,5,0,0,0,0,0,1,0,0,1,6,0,2,0,3,4
FELISBURGO,312560,Arsênio,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
FELIXLANDIA,312570,Arsênio,MG,45,12,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FELIZ,430810,Arsênio,RS,392,38,321,28,5,0,5,0.014124293785310734,0,0,0,0,0,0,0,0,0,0,1
FENIX,410770,Arsênio,PR,17,3,10,3,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
FERCAL,530010,Arsênio,DF,38,0,10,25,0,3,3,0.07894736842105263,0.07894736842105263,92,4,1,9,5,0,3,0,4,17
FERNANDES PINHEIRO,410773,Arsênio,PR,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNANDES TOURINHO,312580,Arsênio,MG,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
FERNANDO PRESTES,351560,Arsênio,SP,39,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERNANDOPOLIS,351550,Arsênio,SP,39,11,7,21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
FERNAO,351565,Arsênio,SP,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
FIGUEIRA,410775,Arsênio,PR,36,0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIGUEIRAO,500390,Arsênio,MS,13,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIGUEIROPOLIS,170765,Arsênio,TO,25,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILADELFIA,170770,Arsênio,TO,29,0,7,18,4,0,4,0.13793103448275862,0,0,0,0,0,0,0,0,0,0,0
FIRMINO ALVES,291090,Arsênio,BA,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRMINOPOLIS,520780,Arsênio,GO,30,5,18,5,2,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0
FLOR DA SERRA DO SUL,410785,Arsênio,PR,42,0,23,18,1,0,1,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0
FLORA RICA,351580,Arsênio,SP,16,5,5,4,2,0,2,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0
FLORAI,410780,Arsênio,PR,40,0,17,3,20,0,20,0.5,0,0,0,0,0,0,0,0,0,0,0
FLOREAL,351590,Arsênio,SP,23,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES DA CUNHA,430820,Arsênio,RS,359,0,313,38,7,1,8,0.022284122562674095,0.002785515320334262,0,0,0,0,3,0,1,0,1,2
FLORESTA,410790,Arsênio,PR,21,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORESTA AZUL,291100,Arsênio,BA,11,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORESTAL,312600,Arsênio,MG,20,20,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
FLORESTOPOLIS,410800,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FLORIANOPOLIS,420540,Arsênio,SC,81,0,22,57,2,0,2,0.024691358024691357,0,5,0,0,1,0,0,1,0,0,16
FLORIDA PAULISTA,351600,Arsênio,SP,60,18,14,23,5,0,5,0.11904761904761904,0,0,0,0,0,0,0,0,0,0,0
FLORINIA,351610,Arsênio,SP,14,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FONTOURA XAVIER,430830,Arsênio,RS,42,0,34,7,1,0,1,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0
FORMIGUEIRO,430840,Arsênio,RS,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORMOSA,520800,Arsênio,GO,58,6,31,6,15,0,15,0.28846153846153844,0,2,0,0,0,3,0,0,0,0,1
FORMOSA DO OESTE,410820,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORMOSA DO RIO PRETO,291110,Arsênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORMOSA DO SUL,420543,Arsênio,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORMOSO,312620,Arsênio,MG,28,22,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0
FORMOSO,520810,Arsênio,GO,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
FORMOSO DO ARAGUAIA,170820,Arsênio,TO,18,2,3,12,1,0,1,0.0625,0,0,0,0,0,1,0,0,0,0,0
FORTALEZA,230440,Arsênio,CE,16,2,0,14,0,0,0,0,0,17,1,0,4,34,0,3,2,13,13
FORTALEZA DE MINAS,312630,Arsênio,MG,24,14,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FORTALEZA DOS VALOS,430845,Arsênio,RS,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOZ DO IGUACU,410830,Arsênio,PR,58,0,30,26,2,0,2,0.034482758620689655,0,0,0,0,0,0,1,0,0,1,2
FOZ DO JORDAO,410845,Arsênio,PR,28,0,16,10,2,0,2,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
FRANCA,351620,Arsênio,SP,18,2,6,10,0,0,0,0,0,0,0,0,0,134,0,5,0,4,0
