municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2093200,cnae_2522500,cnae_2539002,cnae_2721000
BELA VISTA DO PARAISO,410280,Cádmio,PR,34,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DO TOLDO,420213,Cádmio,SC,42,0,10,31,1,0,1,0.023809523809523808,0,0,0,0,0,0,0,0
BELMONTE,290340,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,2,0
BELO HORIZONTE,310620,Cádmio,MG,61,18,11,10,22,0,22,0.5116279069767442,0,15,5,5,15,4,38,3
BELO VALE,310640,Cádmio,MG,21,15,0,2,4,0,4,0.6666666666666666,0,0,0,0,0,0,0,0
BENEDITO NOVO,420220,Cádmio,SC,66,0,5,53,8,0,8,0.12121212121212122,0,0,0,0,0,0,3,0
BENTO DE ABREU,350620,Cádmio,SP,19,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0
BENTO GONCALVES,430210,Cádmio,RS,53,6,47,0,0,0,0,0,0,0,0,0,4,1,22,0
BERIZAL,310665,Cádmio,MG,9,9,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BERNARDINO DE CAMPOS,350630,Cádmio,SP,14,0,0,11,3,0,3,0.21428571428571427,0,0,0,0,0,0,0,0
BERTIOGA,350635,Cádmio,SP,114,0,45,68,1,0,1,0.008771929824561403,0,0,0,0,0,0,0,0
BETIM,310670,Cádmio,MG,22,2,4,16,0,0,0,0,0,0,0,3,3,1,28,1
BIQUINHAS,310700,Cádmio,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BIRITIBA-MIRIM,350660,Cádmio,SP,76,14,16,36,10,0,10,0.16129032258064516,0,0,0,0,0,0,1,0
BIRITINGA,290360,Cádmio,BA,18,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0
BITURUNA,410290,Cádmio,PR,51,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0
BOA ESPERANCA,320100,Cádmio,ES,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
BOA ESPERANCA,410300,Cádmio,PR,32,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0
BOA ESPERANCA DO IGUACU,410302,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
BOA NOVA,290370,Cádmio,BA,17,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA,140010,Cádmio,RR,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
BOA VISTA DA APARECIDA,410305,Cádmio,PR,34,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO BURICA,430220,Cádmio,RS,13,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0
BOA VISTA DO TUPIM,290380,Cádmio,BA,56,21,0,35,0,0,0,0,0,0,0,0,0,0,0,0
BOCAINA,350680,Cádmio,SP,75,12,17,46,0,0,0,0,0,0,0,0,0,0,0,0
BOCAINA DO SUL,420243,Cádmio,SC,20,1,2,13,4,0,4,0.21052631578947367,0,0,0,0,0,0,0,0
BOCAIUVA DO SUL,410310,Cádmio,PR,20,1,10,1,8,0,8,0.42105263157894735,0,1,0,0,0,0,0,0
BODOQUENA,500215,Cádmio,MS,20,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0
BOFETE,350690,Cádmio,SP,76,18,28,27,3,0,3,0.05172413793103448,0,0,0,0,0,0,0,0
BOITUVA,350700,Cádmio,SP,20,0,7,11,2,0,2,0.1,0,0,0,1,1,0,3,0
BOM JARDIM DA SERRA,420250,Cádmio,SC,12,0,0,5,6,1,7,0.5833333333333334,0.08333333333333333,0,0,0,0,0,0,0
BOM JARDIM DE MINAS,310750,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BOM JESUS,420253,Cádmio,SC,17,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS,430230,Cádmio,RS,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS DE GOIAS,520350,Cádmio,GO,25,6,8,7,4,0,4,0.21052631578947367,0,0,0,0,1,0,0,0
BOM JESUS DO AMPARO,310770,Cádmio,MG,14,9,0,3,2,0,2,0.4,0,0,1,0,0,0,0,0
BOM JESUS DO GALHO,310780,Cádmio,MG,4,0,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0
BOM JESUS DO NORTE,320110,Cádmio,ES,12,0,0,10,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0
BOM JESUS DO OESTE,420257,Cádmio,SC,21,2,9,9,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0
BOM JESUS DO SUL,410315,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
BOM PROGRESSO,430237,Cádmio,RS,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM REPOUSO,310790,Cádmio,MG,14,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BOM RETIRO,420260,Cádmio,SC,38,3,2,24,9,0,9,0.2571428571428571,0,1,0,0,0,0,0,0
BOM RETIRO DO SUL,430240,Cádmio,RS,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM SUCESSO,410320,Cádmio,PR,17,0,10,5,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0
BOM SUCESSO DE ITARARE,350715,Cádmio,SP,4,1,0,1,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0
BOM SUCESSO DO SUL,410322,Cádmio,PR,25,0,15,0,10,0,10,0.4,0,0,0,0,0,0,0,0
BONFIM,310810,Cádmio,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BONFINOPOLIS,520355,Cádmio,GO,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
BONFINOPOLIS DE MINAS,310820,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BONINAL,290400,Cádmio,BA,14,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0
BONITO,290405,Cádmio,BA,10,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BONITO,500220,Cádmio,MS,21,0,20,0,1,0,1,0.047619047619047616,0,0,0,0,0,0,0,0
BONITO DE MINAS,310825,Cádmio,MG,13,12,0,0,1,0,1,1,0,0,0,0,0,0,0,0
BONOPOLIS,520357,Cádmio,GO,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
BOQUEIRAO DO LEAO,430245,Cádmio,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
BOQUIM,280067,Cádmio,SE,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BORA,350720,Cádmio,SP,10,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0
BORACEIA,350730,Cádmio,SP,17,1,4,11,1,0,1,0.0625,0,0,0,0,0,0,0,0
BORDA DA MATA,310830,Cádmio,MG,5,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0
BORRAZOPOLIS,410330,Cádmio,PR,28,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0
BOSSOROCA,430250,Cádmio,RS,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTELHOS,310840,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BOTUCATU,350750,Cádmio,SP,160,57,37,61,5,0,5,0.04854368932038835,0,0,0,2,1,0,6,0
BRACO DO NORTE,420280,Cádmio,SC,16,0,2,14,0,0,0,0,0,0,0,0,0,0,2,0
BRAGA,430260,Cádmio,RS,40,1,36,3,0,0,0,0,0,0,0,0,0,0,0,0
BRAGANCA PAULISTA,350760,Cádmio,SP,46,0,17,26,3,0,3,0.06521739130434782,0,0,0,1,2,0,8,0
BRAGANEY,410335,Cádmio,PR,36,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0
BRASILANDIA,500230,Cádmio,MS,28,0,14,7,7,0,7,0.25,0,0,0,0,1,0,0,0
BRASILANDIA DO SUL,410337,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
BRASILIA DE MINAS,310860,Cádmio,MG,11,9,0,0,0,2,2,1,1,0,0,0,0,0,0,0
BRAZABRANTES,520360,Cádmio,GO,39,6,17,9,7,0,7,0.21212121212121213,0,0,0,0,1,0,0,0
BRAZLANDIA,530010,Cádmio,DF,52,0,18,31,3,0,3,0.057692307692307696,0,9,2,3,2,0,26,1
BRAZOPOLIS,310890,Cádmio,MG,18,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0
BREJETUBA,320115,Cádmio,ES,14,0,0,11,3,0,3,0.21428571428571427,0,0,0,0,0,0,0,0
BREJO ALEGRE,350775,Cádmio,SP,13,4,1,7,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0
BREJOES,290430,Cádmio,BA,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BRITANIA,520380,Cádmio,GO,14,0,4,9,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0
BROTAS DE MACAUBAS,290450,Cádmio,BA,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BRUMADINHO,310900,Cádmio,MG,37,4,0,9,24,0,24,0.7272727272727273,0,1,0,0,0,0,0,0
BRUMADO,290460,Cádmio,BA,20,16,0,4,0,0,0,0,0,1,0,0,1,0,0,0
BUENO BRANDAO,310910,Cádmio,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BUENOPOLIS,310920,Cádmio,MG,11,5,0,6,0,0,0,0,0,0,0,0,0,0,1,0
BURI,350800,Cádmio,SP,55,7,0,41,7,0,7,0.14583333333333334,0,0,0,0,0,0,0,0
BURITI ALEGRE,520390,Cádmio,GO,27,12,9,3,3,0,3,0.2,0,0,0,0,0,0,0,0
BURITI DO TOCANTINS,170380,Cádmio,TO,10,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
BURITINOPOLIS,520396,Cádmio,GO,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
BURITIS,310930,Cádmio,MG,11,9,0,0,2,0,2,1,0,0,0,0,0,0,0,0
BURITIZAL,350820,Cádmio,SP,22,1,8,13,0,0,0,0,0,0,0,0,0,0,4,0
BUTIA,430270,Cádmio,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CAARAPO,500240,Cádmio,MS,55,2,37,16,0,0,0,0,0,0,0,0,0,0,0,0
CAATIBA,290480,Cádmio,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CABACEIRAS DO PARAGUACU,290485,Cádmio,BA,42,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0
CABECEIRAS,520400,Cádmio,GO,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CABO FRIO,330070,Cádmio,RJ,4,0,0,0,4,0,4,1,0,0,0,0,1,0,1,0
CABO VERDE,310950,Cádmio,MG,27,12,0,0,15,0,15,1,0,0,0,0,0,0,0,0
CABREUVA,350840,Cádmio,SP,54,0,19,31,4,0,4,0.07407407407407407,0,0,0,0,1,0,9,0
CACADOR,420300,Cádmio,SC,21,2,0,14,5,0,5,0.2631578947368421,0,0,0,0,0,0,1,0
CACAPAVA,350850,Cádmio,SP,196,126,25,45,0,0,0,0,0,0,0,0,0,0,4,0
CACAPAVA DO SUL,430280,Cádmio,RS,49,4,44,1,0,0,0,0,0,1,1,0,0,0,0,0
CACEQUI,430290,Cádmio,RS,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
CACHOEIRA,290490,Cádmio,BA,51,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0
CACHOEIRA ALTA,520410,Cádmio,GO,24,7,10,5,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0
CACHOEIRA DE MINAS,310970,Cádmio,MG,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CACHOEIRA DE PAJEU,310270,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CACHOEIRA DO SUL,430300,Cádmio,RS,32,9,21,0,2,0,2,0.08695652173913043,0,0,0,0,0,2,0,0
CACHOEIRA DOURADA,520425,Cádmio,GO,28,1,9,16,2,0,2,0.07407407407407407,0,0,0,0,0,0,0,0
CACHOEIRA PAULISTA,350860,Cádmio,SP,17,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CACHOEIRINHA,430310,Cádmio,RS,29,0,27,2,0,0,0,0,0,1,0,1,4,0,14,0
CACIQUE DOBLE,430320,Cádmio,RS,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CACU,520430,Cádmio,GO,16,3,2,8,3,0,3,0.23076923076923078,0,0,0,0,0,0,0,0
CACULE,290500,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0
CAEM,290510,Cádmio,BA,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAETANOPOLIS,310990,Cádmio,MG,19,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0
CAETANOS,290515,Cádmio,BA,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CAETES,260320,Cádmio,PE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAETITE,290520,Cádmio,BA,12,12,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0
CAFEARA,410340,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
CAFELANDIA,410345,Cádmio,PR,42,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0
CAFEZAL DO SUL,410347,Cádmio,PR,59,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0
CAIABU,350890,Cádmio,SP,43,0,5,37,1,0,1,0.023255813953488372,0,0,0,0,0,0,0,0
CAIANA,311010,Cádmio,MG,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
CAIAPONIA,520440,Cádmio,GO,38,7,13,12,6,0,6,0.1935483870967742,0,0,0,0,0,0,0,0
CAIBATE,430330,Cádmio,RS,24,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0
CAIBI,420310,Cádmio,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
CAIRU,290540,Cádmio,BA,29,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0
CAJAMAR,350920,Cádmio,SP,69,3,29,22,15,0,15,0.22727272727272727,0,0,0,1,2,1,2,0
CAJATI,350925,Cádmio,SP,73,3,20,45,5,0,5,0.07142857142857142,0,0,0,2,0,0,1,0
CAJURU,350940,Cádmio,SP,29,5,7,17,0,0,0,0,0,0,0,0,0,0,0,0
CALDAS,311030,Cádmio,MG,18,9,0,9,0,0,0,0,0,11,0,0,0,0,0,0
CALDAZINHA,520455,Cádmio,GO,28,6,10,7,5,0,5,0.22727272727272727,0,0,0,0,0,0,0,0
CALIFORNIA,410350,Cádmio,PR,30,0,16,10,4,0,4,0.13333333333333333,0,0,0,0,0,0,0,0
CALMON,420315,Cádmio,SC,18,0,4,11,3,0,3,0.16666666666666666,0,0,0,0,0,0,0,0
CAMACAN,290560,Cádmio,BA,41,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0
CAMACARI,290570,Cádmio,BA,122,106,0,16,0,0,0,0,0,1,0,8,3,0,3,0
CAMACHO,311040,Cádmio,MG,11,8,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0
CAMAMU,290580,Cádmio,BA,30,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0
CAMANDUCAIA,311050,Cádmio,MG,33,19,0,14,0,0,0,0,0,0,0,0,0,0,1,0
CAMAPUA,500260,Cádmio,MS,44,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0
CAMAQUA,430350,Cádmio,RS,18,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0
CAMBARA,410360,Cádmio,PR,34,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0
CAMBARA DO SUL,430360,Cádmio,RS,48,9,37,0,0,2,2,0.05128205128205128,0.05128205128205128,0,0,0,0,0,1,0
CAMBE,410370,Cádmio,PR,28,0,14,14,0,0,0,0,0,0,0,0,1,2,11,0
CAMBIRA,410380,Cádmio,PR,24,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
CAMPANARIO,311080,Cádmio,MG,13,13,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAMPESTRE,311100,Cádmio,MG,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CAMPESTRE DA SERRA,430367,Cádmio,RS,23,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0
CAMPESTRE DE GOIAS,520460,Cádmio,GO,20,3,9,6,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0
CAMPINA DA LAGOA,410390,Cádmio,PR,86,0,46,40,0,0,0,0,0,1,0,0,0,0,0,0
CAMPINA DAS MISSOES,430370,Cádmio,RS,32,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINA DO MONTE ALEGRE,350945,Cádmio,SP,32,0,0,24,7,1,8,0.25,0.03125,0,0,0,0,0,0,0
CAMPINA DO SIMAO,410395,Cádmio,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINA GRANDE DO SUL,410400,Cádmio,PR,79,8,46,22,3,0,3,0.04225352112676056,0,0,0,1,2,0,2,0
CAMPINA VERDE,311110,Cádmio,MG,44,21,2,0,21,0,21,0.9130434782608695,0,0,0,0,0,0,0,0
CAMPINAS DO SUL,430380,Cádmio,RS,77,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINORTE,520470,Cádmio,GO,5,3,0,0,2,0,2,1,0,0,0,0,0,0,0,0
CAMPO ALEGRE DE GOIAS,520480,Cádmio,GO,16,2,8,3,3,0,3,0.21428571428571427,0,0,0,0,0,0,0,0
CAMPO AZUL,311115,Cádmio,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAMPO BELO DO SUL,420340,Cádmio,SC,23,1,6,15,1,0,1,0.045454545454545456,0,0,0,0,0,0,0,0
CAMPO BOM,430390,Cádmio,RS,29,3,23,2,1,0,1,0.038461538461538464,0,0,0,1,3,0,8,0
CAMPO BONITO,410405,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO DO TENENTE,410410,Cádmio,PR,58,0,36,4,18,0,18,0.3103448275862069,0,0,0,0,0,0,0,0
CAMPO ERE,420350,Cádmio,SC,19,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO FLORIDO,311140,Cádmio,MG,7,4,0,1,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0
CAMPO FORMOSO,290600,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,3,3,0,0,0,0,0
CAMPO LARGO,410420,Cádmio,PR,87,0,56,31,0,0,0,0,0,0,1,0,0,0,3,0
CAMPO LIMPO DE GOIAS,520485,Cádmio,GO,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO LIMPO PAULISTA,350960,Cádmio,SP,18,2,4,9,3,0,3,0.1875,0,0,0,0,2,0,2,0
CAMPO MAGRO,410425,Cádmio,PR,55,1,40,7,7,0,7,0.12962962962962962,0,0,0,0,2,0,2,0
CAMPO MOURAO,410430,Cádmio,PR,36,0,16,20,0,0,0,0,0,0,0,0,3,0,3,0
CAMPO NOVO,430400,Cádmio,RS,34,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPOS BELOS,520490,Cádmio,GO,15,4,5,3,3,0,3,0.2727272727272727,0,0,0,0,0,0,0,0
CAMPOS BORGES,430410,Cádmio,RS,24,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPOS DO JORDAO,350970,Cádmio,SP,23,16,3,4,0,0,0,0,0,0,0,0,1,1,0,0
CAMPOS GERAIS,311160,Cádmio,MG,26,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CAMPOS LINDOS,170384,Cádmio,TO,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPOS VERDES,520495,Cádmio,GO,6,2,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0
CANAA,311170,Cádmio,MG,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
CANANEIA,350990,Cádmio,SP,44,8,10,21,5,0,5,0.1388888888888889,0,0,0,0,0,0,0,0
CANAPOLIS,311180,Cádmio,MG,20,9,2,1,4,4,8,0.7272727272727273,0.36363636363636365,0,0,0,0,0,0,0
CANAS,350995,Cádmio,SP,19,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CANAVIEIRAS,290630,Cádmio,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CANDEIAS,290650,Cádmio,BA,26,26,0,0,0,0,0,NA,NA,0,0,0,0,1,2,0
CANDELARIA,430420,Cádmio,RS,33,2,29,1,0,1,1,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0,0
CANDIDO DE ABREU,410440,Cádmio,PR,52,0,32,20,0,0,0,0,0,0,0,0,0,0,0,0
CANDIDO GODOI,430430,Cádmio,RS,49,2,45,2,0,0,0,0,0,0,0,0,0,0,0,0
CANDIDO RODRIGUES,351010,Cádmio,SP,7,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
CANDIDO SALES,290670,Cádmio,BA,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CANDOI,410442,Cádmio,PR,49,0,26,23,0,0,0,0,0,0,0,0,0,0,1,0
CANELA,430440,Cádmio,RS,76,0,75,1,0,0,0,0,0,0,0,0,1,0,1,0
CANGUCU,430450,Cádmio,RS,20,0,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0
CANHOTINHO,260370,Cádmio,PE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CANINDE DE SAO FRANCISCO,280120,Cádmio,SE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CANOAS,430460,Cádmio,RS,56,4,52,0,0,0,0,0,0,0,1,2,1,1,18,0
CANOINHAS,420380,Cádmio,SC,38,0,5,28,5,0,5,0.13157894736842105,0,0,0,4,0,0,0,0
CANTAGALO,311205,Cádmio,MG,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CANTAGALO,330110,Cádmio,RJ,24,0,2,15,7,0,7,0.2916666666666667,0,0,0,0,0,0,0,0
CANTAGALO,410445,Cádmio,PR,25,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0
CANUDOS,290682,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0
CAPANEMA,410450,Cádmio,PR,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0
CAPAO ALTO,420325,Cádmio,SC,15,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
CAPAO BONITO,351020,Cádmio,SP,73,22,0,45,6,0,6,0.11764705882352941,0,0,0,0,0,0,0,0
CAPAO DA CANOA,430463,Cádmio,RS,46,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0
CAPAO DO LEAO,430466,Cádmio,RS,21,2,17,1,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0
CAPARAO,311210,Cádmio,MG,23,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0
CAPELA DE SANTANA,430468,Cádmio,RS,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
CAPELA DO ALTO,351030,Cádmio,SP,62,22,9,30,1,0,1,0.025,0,0,0,0,0,0,0,0
CAPELA DO ALTO ALEGRE,290685,Cádmio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CAPELA NOVA,311220,Cádmio,MG,12,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CAPELINHA,311230,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,3,0
CAPETINGA,311240,Cádmio,MG,44,30,0,14,0,0,0,0,0,0,0,0,0,0,0,0
CAPIM BRANCO,311250,Cádmio,MG,16,2,0,13,1,0,1,0.07142857142857142,0,0,0,0,0,0,2,0
CAPIM GROSSO,290687,Cádmio,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0
CAPINOPOLIS,311260,Cádmio,MG,20,11,0,3,6,0,6,0.6666666666666666,0,0,0,0,0,0,0,0
CAPINZAL,420390,Cádmio,SC,79,3,9,64,3,0,3,0.039473684210526314,0,0,0,0,0,0,2,0
CAPITAO ENEAS,311270,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAPITAO LEONIDAS MARQUES,410460,Cádmio,PR,39,0,20,19,0,0,0,0,0,0,0,0,1,0,0,0
CAPITOLIO,311280,Cádmio,MG,35,27,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CAPIVARI DO SUL,430467,Cádmio,RS,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPOEIRAS,260380,Cádmio,PE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CAPUTIRA,311290,Cádmio,MG,34,0,18,14,2,0,2,0.058823529411764705,0,0,0,0,0,0,0,0
CARACOL,500280,Cádmio,MS,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
CARAGUATATUBA,351050,Cádmio,SP,80,12,22,37,9,0,9,0.1323529411764706,0,0,0,0,0,0,0,0
CARAIBAS,290689,Cádmio,BA,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CARAMBEI,410465,Cádmio,PR,36,0,16,20,0,0,0,0,0,0,0,0,1,0,1,0
CARANDAI,311320,Cádmio,MG,85,82,0,3,0,0,0,0,0,0,0,1,0,0,0,0
CARAPEBUS,330093,Cádmio,RJ,15,3,0,4,8,0,8,0.6666666666666666,0,0,0,0,0,0,0,0
CARATINGA,311340,Cádmio,MG,30,5,0,1,23,1,24,0.96,0.04,0,0,3,0,0,3,0
CARAVELAS,290690,Cádmio,BA,22,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CARAZINHO,430470,Cádmio,RS,67,0,65,2,0,0,0,0,0,0,0,0,0,0,1,1
CARBONITA,311350,Cádmio,MG,22,22,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
CARDEAL DA SILVA,290700,Cádmio,BA,13,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CARDOSO,351070,Cádmio,SP,20,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0
CARDOSO MOREIRA,330115,Cádmio,RJ,9,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CARLOPOLIS,410470,Cádmio,PR,34,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0
CARLOS BARBOSA,430480,Cádmio,RS,307,1,304,2,0,0,0,0,0,0,0,0,0,0,3,0
CARMO DO RIO CLARO,311440,Cádmio,MG,30,23,0,7,0,0,0,0,0,0,1,0,1,0,0,0
CARMO DO RIO VERDE,520500,Cádmio,GO,12,2,5,2,3,0,3,0.3,0,0,0,0,0,0,0,0
CARNEIRINHO,311455,Cádmio,MG,22,9,0,0,12,1,13,1,0.07692307692307693,0,0,0,0,0,0,0
CARRASCO BONITO,170389,Cádmio,TO,10,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
CARVALHOPOLIS,311470,Cádmio,MG,14,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0
CARVALHOS,311480,Cádmio,MG,10,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CASCA,430490,Cádmio,RS,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
CASCAVEL,410480,Cádmio,PR,155,1,109,39,6,0,6,0.03896103896103896,0,0,0,0,0,1,10,1
