municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2029100,cnae_2033900,cnae_2071100,cnae_2422901,cnae_2449199,cnae_2539001,cnae_2539002,cnae_2599399,cnae_2660400,cnae_2722801,cnae_2722802,cnae_2910701,cnae_2920401,cnae_2945000,cnae_3313902,cnae_3831999
CEZARINA,520545,Chumbo,GO,40,11,22,6,1,0,1,0.034482758620689655,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
CHAPADA,430530,Chumbo,RS,39,1,31,7,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
CHAPADA DA NATIVIDADE,170510,Chumbo,TO,8,0,0,7,0,1,1,0.125,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHAPADA GAUCHA,311615,Chumbo,MG,14,10,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0
CHAPADAO DO LAGEADO,420419,Chumbo,SC,21,0,3,14,4,0,4,0.19047619047619047,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHAPADAO DO SUL,500295,Chumbo,MS,24,5,9,6,4,0,4,0.21052631578947367,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,1,2
CHAPECO,420420,Chumbo,SC,132,1,28,82,17,4,21,0.16030534351145037,0.030534351145038167,0,0,2,0,0,7,0,1,303,19,41,2,2,0,0,0,0,1,2
CHARQUEADA,351170,Chumbo,SP,42,6,18,13,5,0,5,0.1388888888888889,0,0,0,0,3,0,1,0,0,13,2,1,0,0,0,0,0,0,0,2
CHARQUEADAS,430535,Chumbo,RS,24,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,10,0,0,0,0,0,0,0,2
CHIAPETTA,430540,Chumbo,RS,44,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHOPINZINHO,410540,Chumbo,PR,24,5,16,0,3,0,3,0.15789473684210525,0,0,0,0,2,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0
CHORROCHO,290770,Chumbo,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHUI,430543,Chumbo,RS,36,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,3
CHUVISCA,430544,Chumbo,RS,34,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CIANORTE,410550,Chumbo,PR,82,7,41,32,2,0,2,0.02666666666666667,0,0,0,0,1,0,1,0,0,53,2,13,0,2,0,0,0,1,0,5
CICERO DANTAS,290780,Chumbo,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIDADE GAUCHA,410560,Chumbo,PR,20,0,4,10,6,0,6,0.3,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3
CIDADE OCIDENTAL,520549,Chumbo,GO,22,2,8,4,8,0,8,0.4,0,0,0,0,0,0,2,0,0,7,0,7,0,0,0,0,0,0,0,0
CIDREIRA,430545,Chumbo,RS,23,2,16,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,0,0,1
CIPO,290790,Chumbo,BA,14,14,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
CIPOTANEA,311630,Chumbo,MG,28,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIRIACO,430550,Chumbo,RS,31,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLARO DOS POCOES,311650,Chumbo,MG,7,2,0,0,5,0,5,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CLAUDIO,311660,Chumbo,MG,13,0,0,4,9,0,9,0.6923076923076923,0,0,1,0,1,0,0,0,1,53,14,18,0,0,0,0,0,0,0,9
CLEVELANDIA,410570,Chumbo,PR,24,0,16,0,8,0,8,0.3333333333333333,0,0,0,0,1,0,0,0,0,10,1,2,0,1,0,0,0,1,0,0
COARACI,290800,Chumbo,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
COCALZINHO DE GOIAS,520551,Chumbo,GO,27,6,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
COIMBRA,311670,Chumbo,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COLINAS DO TOCANTINS,170550,Chumbo,TO,16,0,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,1,2
COLMEIA,171670,Chumbo,TO,33,4,8,19,2,0,2,0.06896551724137931,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
COLOMBIA,351210,Chumbo,SP,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COLOMBO,410580,Chumbo,PR,118,2,60,53,3,0,3,0.02586206896551724,0,0,0,2,1,0,25,0,4,195,12,49,2,0,0,0,0,0,3,21
COLORADO,430560,Chumbo,RS,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
COLUNA,311680,Chumbo,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMBINADO,170555,Chumbo,TO,18,0,2,15,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
COMENDADOR GOMES,311690,Chumbo,MG,15,4,0,7,4,0,4,0.36363636363636365,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
COMERCINHO,311700,Chumbo,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONCEICAO DA APARECIDA,311710,Chumbo,MG,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONCEICAO DA BARRA DE MINAS,311520,Chumbo,MG,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CONCEICAO DA FEIRA,290820,Chumbo,BA,8,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
CONCEICAO DO CASTELO,320170,Chumbo,ES,14,0,0,13,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
CONCEICAO DO MATO DENTRO,311750,Chumbo,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
CONCEICAO DO PARA,311760,Chumbo,MG,23,5,0,0,16,2,18,1,0.1111111111111111,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CONCEICAO DO RIO VERDE,311770,Chumbo,MG,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0
CONCEICAO DOS OUROS,311780,Chumbo,MG,21,7,0,13,0,1,1,0.07142857142857142,0.07142857142857142,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1
CONCHAS,351230,Chumbo,SP,22,5,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1
CONCORDIA,420430,Chumbo,SC,39,1,4,32,2,0,2,0.05263157894736842,0,0,0,0,0,0,3,0,0,50,1,19,0,1,0,0,0,0,0,3
CONDE,290860,Chumbo,BA,15,14,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CONDEUBA,290870,Chumbo,BA,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CONDOR,430570,Chumbo,RS,60,0,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CONEGO MARINHO,311783,Chumbo,MG,14,11,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFINS,311787,Chumbo,MG,11,4,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1
CONGONHAL,311790,Chumbo,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0
CONGONHAS,311800,Chumbo,MG,71,71,0,0,0,0,0,NA,NA,1,0,0,1,0,1,9,0,22,2,2,0,0,0,0,0,0,0,5
CONGONHINHAS,410600,Chumbo,PR,28,0,16,12,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
CONQUISTA,311820,Chumbo,MG,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
CONSELHEIRO LAFAIETE,311830,Chumbo,MG,56,42,0,14,0,0,0,0,0,0,0,1,0,0,2,8,0,33,0,28,0,0,0,0,0,0,0,7
CONSELHEIRO MAIRINCK,410610,Chumbo,PR,36,0,12,22,2,0,2,0.05555555555555555,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CONSTANTINA,430580,Chumbo,RS,53,0,41,12,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CONTENDA,410620,Chumbo,PR,33,0,20,10,3,0,3,0.09090909090909091,0,0,0,0,0,0,1,0,0,11,1,3,0,0,0,0,0,0,0,1
CONTENDAS DO SINCORA,290880,Chumbo,BA,7,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORACAO DE JESUS,311880,Chumbo,MG,26,10,0,2,13,1,14,0.875,0.0625,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CORBELIA,410630,Chumbo,PR,57,3,30,23,1,0,1,0.018518518518518517,0,0,0,0,0,0,1,0,0,12,0,4,0,0,0,0,0,0,0,3
CORDISBURGO,311890,Chumbo,MG,7,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CORINTO,311910,Chumbo,MG,30,11,0,19,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
CORNELIO PROCOPIO,410640,Chumbo,PR,63,3,42,15,3,0,3,0.05,0,0,0,0,0,0,2,0,0,21,1,5,0,1,0,0,0,0,0,3
COROADOS,351250,Chumbo,SP,17,6,6,4,1,0,1,0.09090909090909091,0,0,0,0,1,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0
CORONEL BICACO,430590,Chumbo,RS,40,0,38,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
CORONEL DOMINGOS SOARES,410645,Chumbo,PR,14,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CORONEL FREITAS,420440,Chumbo,SC,23,3,3,14,3,0,3,0.15,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1
CORONEL MACEDO,351260,Chumbo,SP,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL MARTINS,420445,Chumbo,SC,21,2,3,13,3,0,3,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Chumbo,MS,15,2,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CORONEL VIVIDA,410650,Chumbo,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5
CORONEL XAVIER CHAVES,311970,Chumbo,MG,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
CORREGO DANTA,311980,Chumbo,MG,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
CORREGO DO OURO,520570,Chumbo,GO,7,2,1,2,2,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORREIA PINTO,420455,Chumbo,SC,32,0,1,27,4,0,4,0.125,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,0,1
CORRENTES,260470,Chumbo,PE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBA,500320,Chumbo,MS,16,4,6,1,5,0,5,0.4166666666666667,0,0,0,0,0,0,0,0,0,28,0,1,0,1,0,0,0,1,1,3
CORUMBAIBA,520590,Chumbo,GO,49,3,26,13,7,0,7,0.15217391304347827,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBATAI DO SUL,410655,Chumbo,PR,14,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTEGIPE,290940,Chumbo,BA,14,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Chumbo,SP,38,0,22,14,2,0,2,0.05263157894736842,0,0,0,0,2,0,14,0,1,106,9,35,6,1,0,3,0,1,5,14
COTIPORA,430595,Chumbo,RS,38,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COUTO MAGALHAES,170600,Chumbo,TO,6,0,0,5,0,1,1,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COXIM,500330,Chumbo,MS,71,15,31,25,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,1,0,1,0,0,0,1,0,4
CRAVOLANDIA,290950,Chumbo,BA,17,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRICIUMA,420460,Chumbo,SC,20,0,1,16,3,0,3,0.15,0,1,0,2,2,0,19,0,6,233,15,60,0,0,0,0,0,2,2,23
CRISOPOLIS,290960,Chumbo,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CRISSIUMAL,430600,Chumbo,RS,33,0,28,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
CRISTAIS,312020,Chumbo,MG,17,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CRISTAL,430605,Chumbo,RS,25,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CRISTALANDIA,170610,Chumbo,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CRISTALIA,312030,Chumbo,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CRISTALINA,520620,Chumbo,GO,12,2,1,1,8,0,8,0.8,0,1,0,0,0,0,0,0,0,20,1,4,0,0,0,0,0,0,0,0
CRISTIANO OTONI,312040,Chumbo,MG,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CRISTIANOPOLIS,520630,Chumbo,GO,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CRISTOPOLIS,290970,Chumbo,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIXAS,520640,Chumbo,GO,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0
CROMINIA,520650,Chumbo,GO,20,1,9,4,6,0,6,0.3157894736842105,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CRUCILANDIA,312060,Chumbo,MG,17,3,4,0,10,0,10,0.7142857142857143,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CRUZ ALTA,430610,Chumbo,RS,45,0,39,6,0,0,0,0,0,0,0,0,4,0,0,0,0,28,1,7,1,0,0,0,0,0,0,4
CRUZ MACHADO,410680,Chumbo,PR,57,1,30,26,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
CRUZALIA,351330,Chumbo,SP,18,2,3,8,5,0,5,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DA FORTALEZA,312070,Chumbo,MG,11,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Chumbo,PR,72,6,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO OESTE,410660,Chumbo,PR,38,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0
CRUZEIRO DO SUL,410670,Chumbo,PR,20,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
CRUZEIRO DO SUL,430620,Chumbo,RS,8,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,23,0,4,0,0,0,0,0,0,0,4
CRUZILIA,312080,Chumbo,MG,27,1,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
CRUZMALTINA,410685,Chumbo,PR,55,1,36,17,1,0,1,0.018518518518518517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBATAO,351350,Chumbo,SP,50,2,13,35,0,0,0,0,0,0,0,1,6,0,0,6,0,57,2,5,0,0,0,0,0,0,0,5
CUMARI,520660,Chumbo,GO,12,0,8,2,0,2,2,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNHA PORA,420470,Chumbo,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,1,0,1
CUNHATAI,420475,Chumbo,SC,36,2,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Chumbo,PA,76,10,30,35,1,0,1,0.015151515151515152,0,5,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,1
CURITIBA,410690,Chumbo,PR,104,0,66,30,8,0,8,0.07692307692307693,0,3,2,4,12,2,55,4,16,1316,111,315,19,4,0,8,4,13,17,91
CURITIBANOS,420480,Chumbo,SC,36,4,2,22,8,0,8,0.25,0,0,0,0,1,0,0,0,0,22,0,3,0,0,0,0,0,0,0,1
CURIUVA,410700,Chumbo,PR,52,1,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CURRAL DE DENTRO,312087,Chumbo,MG,34,19,0,3,11,1,12,0.8,0.06666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURVELO,312090,Chumbo,MG,74,17,14,42,1,0,1,0.017543859649122806,0,0,0,0,48,0,0,0,0,48,2,5,0,1,1,0,0,0,0,4
DAMIANOPOLIS,520670,Chumbo,GO,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Chumbo,GO,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DARIO MEIRA,291000,Chumbo,BA,16,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Chumbo,RS,34,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DELFINOPOLIS,312120,Chumbo,MG,15,15,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DELMIRO GOUVEIA,270240,Chumbo,AL,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
DEODAPOLIS,500345,Chumbo,MS,79,21,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
DERRUBADAS,430632,Chumbo,RS,31,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DESCANSO,420490,Chumbo,SC,35,0,8,24,2,1,3,0.08571428571428572,0.02857142857142857,0,0,0,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0
DESTERRO DO MELO,312150,Chumbo,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DIAMANTE D'OESTE,410715,Chumbo,PR,37,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO NORTE,410710,Chumbo,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
DIAMANTE DO SUL,410712,Chumbo,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Chumbo,MG,4,4,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,14,1,6,0,0,0,0,0,0,0,0
DIANOPOLIS,170700,Chumbo,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
DIAS D'AVILA,291005,Chumbo,BA,80,74,0,6,0,0,0,0,0,0,0,0,1,0,1,0,3,100,10,6,0,0,0,1,0,1,1,6
DILERMANDO DE AGUIAR,430637,Chumbo,RS,19,0,15,2,2,0,2,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Chumbo,SC,29,2,2,24,1,0,1,0.037037037037037035,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1
DIORAMA,520710,Chumbo,GO,14,3,5,1,5,0,5,0.45454545454545453,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DIRCE REIS,351385,Chumbo,SP,23,6,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Chumbo,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINO,312200,Chumbo,MG,22,2,14,0,6,0,6,0.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DIVINO DAS LARANJEIRAS,312210,Chumbo,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DIVINO DE SAO LOURENCO,320180,Chumbo,ES,3,0,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
DIVINOLANDIA,351390,Chumbo,SP,66,16,23,26,1,0,1,0.02,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
DIVINOPOLIS,312230,Chumbo,MG,38,10,0,12,14,2,16,0.5714285714285714,0.07142857142857142,1,0,0,4,0,6,0,3,187,17,56,2,0,0,0,0,0,0,30
DIVINOPOLIS DE GOIAS,520830,Chumbo,GO,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DIVISA ALEGRE,312235,Chumbo,MG,14,10,0,0,4,0,4,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
DIVISA NOVA,312240,Chumbo,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DIVISOPOLIS,312245,Chumbo,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Chumbo,RS,153,39,89,25,0,0,0,0,0,0,0,1,1,0,2,0,0,8,3,20,0,0,0,0,0,0,0,1
DOIS IRMAOS DO BURITI,500348,Chumbo,MS,27,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DOIS VIZINHOS,410720,Chumbo,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,4,0,0,0,0,0,0,0,2
DOLCINOPOLIS,351420,Chumbo,SP,21,6,7,7,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Chumbo,RS,29,1,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Chumbo,RS,33,5,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,4,0,0,0,0,0,1,1,1
DOM SILVERIO,312270,Chumbo,MG,20,2,14,2,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DOMINGOS MARTINS,320190,Chumbo,ES,40,2,8,20,2,8,10,0.2631578947368421,0.21052631578947367,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
DONA EMMA,420510,Chumbo,SC,19,0,2,14,3,0,3,0.15789473684210525,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DONA EUSEBIA,312290,Chumbo,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DONA FRANCISCA,430670,Chumbo,RS,26,2,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DORES DO INDAIA,312320,Chumbo,MG,18,0,0,2,16,0,16,0.8888888888888888,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
DORES DO RIO PRETO,320200,Chumbo,ES,15,0,0,14,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
DOURADINA,410725,Chumbo,PR,60,1,28,29,1,1,2,0.03389830508474576,0.01694915254237288,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2
DOURADINA,500350,Chumbo,MS,32,4,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
DOURADO,351430,Chumbo,SP,42,1,14,20,7,0,7,0.17073170731707318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
