municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_600001,cnae_891600,cnae_1313800,cnae_1340502,cnae_2019399,cnae_2031200,cnae_2061400,cnae_2033900,cnae_2093200,cnae_2211100,cnae_2212900,cnae_2219600,cnae_2311700,cnae_2342701,cnae_2342702,cnae_2349401,cnae_2349499,cnae_2399199
CORONEL DOMINGOS SOARES,410645,Bário,PR,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CORONEL FREITAS,420440,Bário,SC,22,4,1,8,9,0,9,0.5,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,2,0,0,0
CORONEL MACEDO,351260,Bário,SP,40,12,0,0,28,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CORONEL MARTINS,420445,Bário,SC,21,2,1,5,13,0,13,0.6842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Bário,MS,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
CORONEL VIVIDA,410650,Bário,PR,20,0,4,14,2,0,2,0.1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
CORONEL XAVIER CHAVES,311970,Bário,MG,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
CORREGO DANTA,311980,Bário,MG,5,3,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORREGO DO OURO,520570,Bário,GO,7,1,0,0,5,1,6,1,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CORREIA PINTO,420455,Bário,SC,32,18,0,2,12,0,12,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CORRENTES,260470,Bário,PE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBA,500320,Bário,MS,16,4,7,1,4,0,4,0.3333333333333333,0,0,0,0,0,0,0,6,0,0,0,7,1,0,0,4,0,6,0
CORUMBAIBA,520590,Bário,GO,50,7,21,3,19,0,19,0.4418604651162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0
CORUMBATAI DO SUL,410655,Bário,PR,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COTEGIPE,290940,Bário,BA,21,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Bário,SP,41,0,16,10,15,0,15,0.36585365853658536,0,0,0,3,0,0,2,14,0,15,0,0,16,1,0,4,0,22,2
COTIPORA,430595,Bário,RS,35,0,4,1,30,0,30,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUTO MAGALHAES,170600,Bário,TO,12,0,0,5,7,0,7,0.5833333333333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COXIM,500330,Bário,MS,71,23,24,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,8,0,3,0
CRATEUS,230410,Bário,CE,22,2,0,15,5,0,5,0.25,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,11,0,1,0
CRAVOLANDIA,290950,Bário,BA,17,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRICIUMA,420460,Bário,SC,20,0,0,0,20,0,20,1,0,0,3,1,1,2,2,26,0,8,0,11,8,0,25,41,0,42,8
CRISOPOLIS,290960,Bário,BA,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CRISSIUMAL,430600,Bário,RS,33,1,3,4,25,0,25,0.78125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CRISTAIS,312020,Bário,MG,17,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTAL,430605,Bário,RS,25,0,0,6,19,0,19,0.76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,3,0
CRISTALANDIA,170610,Bário,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
CRISTALIA,312030,Bário,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CRISTALINA,520620,Bário,GO,22,7,7,5,3,0,3,0.2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,3,1
CRISTIANO OTONI,312040,Bário,MG,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CRISTIANOPOLIS,520630,Bário,GO,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
CRISTOPOLIS,290970,Bário,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CRIXAS,520640,Bário,GO,8,6,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1
CRIXAS DO TOCANTINS,170625,Bário,TO,11,0,0,9,2,0,2,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROMINIA,520650,Bário,GO,19,0,9,5,5,0,5,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CRUCILANDIA,312060,Bário,MG,17,5,0,4,8,0,8,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZ ALTA,430610,Bário,RS,50,4,8,12,26,0,26,0.5652173913043478,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,25,0,3,3
CRUZ MACHADO,410680,Bário,PR,57,0,24,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CRUZALIA,351330,Bário,SP,18,1,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0
CRUZEIRO DA FORTALEZA,312070,Bário,MG,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Bário,PR,72,0,13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO OESTE,410660,Bário,PR,38,14,1,10,12,1,13,0.5416666666666666,0.041666666666666664,0,0,0,2,0,0,1,0,0,0,2,0,0,0,4,0,0,0
CRUZEIRO DO SUL,410670,Bário,PR,20,10,0,2,4,4,8,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CRUZEIRO DO SUL,430620,Bário,RS,8,0,7,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,9,0,1,1
CRUZILIA,312080,Bário,MG,29,4,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,2,0
CRUZMALTINA,410685,Bário,PR,55,1,22,20,12,0,12,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CUBATAO,351350,Bário,SP,50,0,17,31,2,0,2,0.04,0,2,2,1,0,1,3,0,0,0,0,2,1,0,0,0,0,1,0
CUMARI,520660,Bário,GO,12,2,6,0,4,0,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CUNHA PORA,420470,Bário,SC,36,0,0,5,31,0,31,0.8611111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
CUNHATAI,420475,Bário,SC,36,4,0,4,28,0,28,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Bário,PA,78,33,1,10,34,0,34,0.7555555555555555,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
CURITIBA,410690,Bário,PR,104,6,18,60,20,0,20,0.20408163265306123,0,4,10,8,0,4,11,64,2,22,13,74,109,19,3,158,1,174,25
CURITIBANOS,420480,Bário,SC,36,24,0,6,6,0,6,0.5,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,1,0
CURIUVA,410700,Bário,PR,55,20,7,13,15,0,15,0.42857142857142855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0
CURRAL DE DENTRO,312087,Bário,MG,34,19,0,3,11,1,12,0.8,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CURVELO,312090,Bário,MG,88,25,0,51,12,0,12,0.19047619047619047,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,14,0,6,11
DAMIANOPOLIS,520670,Bário,GO,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Bário,GO,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
DARIO MEIRA,291000,Bário,BA,16,12,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Bário,RS,34,2,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
DELFINOPOLIS,312120,Bário,MG,15,15,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DELMIRO GOUVEIA,270240,Bário,AL,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,1
DEODAPOLIS,500345,Bário,MS,79,61,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
DERRUBADAS,430632,Bário,RS,31,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
DESCANSO,420490,Bário,SC,44,0,0,2,42,0,42,0.9545454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESTERRO DO MELO,312150,Bário,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
DIAMANTE D'OESTE,410715,Bário,PR,39,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTE DO NORTE,410710,Bário,PR,15,3,5,2,5,0,5,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DIAMANTE DO SUL,410712,Bário,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Bário,MG,4,4,0,0,0,0,0,NA,NA,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,0
DIANOPOLIS,170700,Bário,TO,19,8,3,1,7,0,7,0.6363636363636364,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
DIAS D'AVILA,291005,Bário,BA,134,108,0,26,0,0,0,0,0,0,1,0,0,0,0,10,0,4,0,3,2,0,2,26,0,8,1
DILERMANDO DE AGUIAR,430637,Bário,RS,19,1,8,4,6,0,6,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Bário,SC,29,1,0,2,26,0,26,0.9285714285714286,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0
DIORAMA,520710,Bário,GO,14,4,0,0,10,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRCE REIS,351385,Bário,SP,24,6,0,2,16,0,16,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Bário,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINO,312200,Bário,MG,22,11,5,0,6,0,6,0.5454545454545454,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DIVINO DAS LARANJEIRAS,312210,Bário,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
DIVINO DE SAO LOURENCO,320180,Bário,ES,15,0,0,6,9,0,9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINOLANDIA,351390,Bário,SP,66,16,4,43,3,0,3,0.06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0
DIVINOPOLIS,312230,Bário,MG,38,4,2,0,32,0,32,0.9411764705882353,0,0,0,0,1,0,0,8,0,0,1,22,21,6,1,10,0,29,5
DIVINOPOLIS DE GOIAS,520830,Bário,GO,8,4,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DIVINOPOLIS DO TOCANTINS,170710,Bário,TO,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0
DIVISA ALEGRE,312235,Bário,MG,14,10,0,0,2,2,4,1,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
DIVISA NOVA,312240,Bário,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0
DIVISOPOLIS,312245,Bário,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Bário,RS,123,26,18,17,51,11,62,0.6391752577319587,0.1134020618556701,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0
DOIS IRMAOS DO BURITI,500348,Bário,MS,27,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
DOIS IRMAOS DO TOCANTINS,170720,Bário,TO,11,1,0,7,3,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DOIS VIZINHOS,410720,Bário,PR,35,0,4,31,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,1,1
DOLCINOPOLIS,351420,Bário,SP,22,6,0,2,14,0,14,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Bário,RS,29,0,0,6,23,0,23,0.7931034482758621,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Bário,RS,33,6,0,2,25,0,25,0.9259259259259259,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,3,0,1,0
DOM SILVERIO,312270,Bário,MG,20,4,12,2,2,0,2,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINGOS MARTINS,320190,Bário,ES,34,0,2,12,20,0,20,0.5882352941176471,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
DONA EMMA,420510,Bário,SC,26,0,0,4,22,0,22,0.8461538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
DONA EUSEBIA,312290,Bário,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0
DONA FRANCISCA,430670,Bário,RS,26,0,1,8,17,0,17,0.6538461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DORES DO INDAIA,312320,Bário,MG,20,2,0,2,16,0,16,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
DORES DO RIO PRETO,320200,Bário,ES,27,0,0,17,10,0,10,0.37037037037037035,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
DOURADINA,410725,Bário,PR,60,20,1,16,16,7,23,0.575,0.175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0
DOURADINA,500350,Bário,MS,32,6,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DOURADO,351430,Bário,SP,42,9,1,5,27,0,27,0.8181818181818182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DOURADOS,500370,Bário,MS,187,32,147,4,4,0,4,0.025806451612903226,0,0,0,0,0,0,1,7,0,0,0,30,4,2,0,19,0,8,2
DOUTOR CAMARGO,410730,Bário,PR,17,0,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,7,0,0,0
DOUTOR MAURICIO CARDOSO,430673,Bário,RS,17,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
DOUTOR PEDRINHO,420515,Bário,SC,41,0,0,1,40,0,40,0.975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DOVERLANDIA,520725,Bário,GO,30,7,9,4,10,0,10,0.43478260869565216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUARTINA,351450,Bário,SP,26,0,0,7,17,2,19,0.7307692307692307,0.07692307692307693,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DUAS BARRAS,330160,Bário,RJ,25,1,0,8,16,0,16,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
DUQUE DE CAXIAS,330170,Bário,RJ,3,0,0,0,3,0,3,1,0,3,0,0,1,7,17,58,4,18,2,16,77,5,1,5,0,27,13
DURANDE,312352,Bário,MG,10,3,5,1,1,0,1,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ECHAPORA,351470,Bário,SP,16,1,0,2,13,0,13,0.8666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ECOPORANGA,320210,Bário,ES,61,6,0,27,28,0,28,0.509090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
EDEALINA,520735,Bário,GO,18,5,7,0,6,0,6,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
EDEIA,520740,Bário,GO,16,2,1,5,8,0,8,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ELDORADO,351480,Bário,SP,108,4,24,14,66,0,66,0.6346153846153846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELDORADO,500375,Bário,MS,25,16,5,3,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0
ELDORADO DOS CARAJAS,150295,Bário,PA,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,1,0
ELIAS FAUSTO,351490,Bário,SP,61,0,13,0,48,0,48,0.7868852459016393,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,10,0,2,0
ELISIO MEDRADO,291030,Bário,BA,13,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
EMBU-GUACU,351510,Bário,SP,46,2,29,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,1,0,5,0,2,4
EMILIANOPOLIS,351512,Bário,SP,21,5,0,0,16,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENCANTADO,430680,Bário,RS,61,3,13,29,16,0,16,0.27586206896551724,0,0,0,2,0,0,0,9,0,1,0,5,2,0,0,7,0,3,1
ENCRUZILHADA,291040,Bário,BA,11,11,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
ENCRUZILHADA DO SUL,430690,Bário,RS,24,2,0,0,22,0,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
ENEAS MARQUES,410740,Bário,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGENHEIRO BELTRAO,410750,Bário,PR,72,0,30,35,7,0,7,0.09722222222222222,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,1,0
ENGENHEIRO NAVARRO,312380,Bário,MG,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ENTRE RIOS,291050,Bário,BA,23,23,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0
ENTRE RIOS,420517,Bário,SC,14,0,0,0,14,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE RIOS DE MINAS,312390,Bário,MG,51,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
ENTRE RIOS DO SUL,430695,Bário,RS,33,4,13,11,5,0,5,0.1724137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTRE-IJUIS,430693,Bário,RS,15,1,11,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
EREBANGO,430697,Bário,RS,39,2,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ERECHIM,430700,Bário,RS,106,5,39,16,46,0,46,0.45544554455445546,0,0,0,0,0,0,0,11,0,0,1,4,6,3,0,8,0,5,4
ERERE,230427,Bário,CE,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ERVAL GRANDE,430720,Bário,RS,32,1,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERVAL SECO,430730,Bário,RS,14,2,5,3,4,0,4,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ERVAL VELHO,420520,Bário,SC,20,2,0,2,16,0,16,0.8888888888888888,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ERVALIA,312400,Bário,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
ESMERALDA,430740,Bário,RS,33,1,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERA FELIZ,312420,Bário,MG,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
ESPERANCA NOVA,410752,Bário,PR,21,8,0,7,6,0,6,0.46153846153846156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERANTINA,170740,Bário,TO,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPINOSA,312430,Bário,MG,23,9,0,2,12,0,12,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
ESPIRITO SANTO DO PINHAL,351518,Bário,SP,8,8,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,1,2,0,0,13,0,1,1
ESPIRITO SANTO DO TURVO,351519,Bário,SP,6,0,0,2,4,0,4,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPLANADA,291060,Bário,BA,14,14,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ESPUMOSO,430750,Bário,RS,119,7,68,35,9,0,9,0.08035714285714286,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,10,0,0,0
ESTACAO,430755,Bário,RS,71,2,55,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
ESTANCIA VELHA,430760,Bário,RS,13,0,7,1,5,0,5,0.38461538461538464,0,0,0,0,0,1,0,3,0,3,0,0,8,0,0,0,0,1,2
ESTEIO,430770,Bário,RS,28,8,2,6,12,0,12,0.6,0,0,0,4,0,0,0,5,2,2,0,1,10,0,0,2,0,5,5
ESTIVA,312450,Bário,MG,13,5,2,5,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ESTRELA,430780,Bário,RS,141,17,81,21,22,0,22,0.1774193548387097,0,0,0,0,0,0,1,5,0,1,0,2,0,3,0,19,0,6,3
ESTRELA D'OESTE,351520,Bário,SP,43,10,2,14,17,0,17,0.5151515151515151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ESTRELA DO NORTE,351530,Bário,SP,25,4,0,5,16,0,16,0.7619047619047619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO NORTE,520750,Bário,GO,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
ESTRELA DO SUL,312480,Bário,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
EUCLIDES DA CUNHA,291070,Bário,BA,14,14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,1,0
EUCLIDES DA CUNHA PAULISTA,351535,Bário,SP,48,9,6,2,31,0,31,0.7948717948717948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUNAPOLIS,291072,Bário,BA,16,11,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,7,5,0,0,7,0,4,0
EXTREMA,312510,Bário,MG,15,8,0,6,1,0,1,0.14285714285714285,0,0,0,0,0,2,1,0,0,0,2,1,6,0,0,28,0,2,2
FAGUNDES VARELA,430786,Bário,RS,36,1,14,10,11,0,11,0.3142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
FARIA LEMOS,312530,Bário,MG,5,2,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAROL,410755,Bário,PR,16,0,5,3,8,0,8,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FARROUPILHA,430790,Bário,RS,92,7,15,18,52,0,52,0.611764705882353,0,0,0,1,2,0,3,5,0,1,0,3,5,0,0,18,0,1,2
FARTURA,351540,Bário,SP,21,2,0,3,16,0,16,0.8421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,0
FATIMA,170755,Bário,TO,15,0,0,5,10,0,10,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATIMA,291075,Bário,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
FATIMA DO SUL,500380,Bário,MS,44,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0
FAXINAL,410760,Bário,PR,19,4,5,6,4,0,4,0.26666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,1,0
FAXINAL DO SOTURNO,430800,Bário,RS,38,2,17,9,10,0,10,0.2777777777777778,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1
FAXINAL DOS GUEDES,420530,Bário,SC,28,0,0,0,28,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
