municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
JUSSIAPE,291860,Acrilamida,BA,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
JUTI,500515,Acrilamida,MS,14,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JUVENILIA,313695,Acrilamida,MG,8,8,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LACERDOPOLIS,420920,Acrilamida,SC,15,0,5,10,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
LADARIO,500520,Acrilamida,MS,8,0,6,1,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0
LAFAIETE COUTINHO,291870,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAGO SUL,530010,Acrilamida,DF,5,1,0,4,0,0,0,1,0,0,52,8,0,0,12,2,1,2,2,79
LAGOA BONITA DO SUL,431123,Acrilamida,RS,8,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAGOA DA CONFUSAO,171190,Acrilamida,TO,6,0,3,3,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,12
LAGOA DOS PATOS,313730,Acrilamida,MG,6,1,2,0,3,0,3,1,0.6,0,0,0,0,0,0,0,0,0,0,0
LAGOA DOURADA,313740,Acrilamida,MG,26,22,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAGOA REAL,291875,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LAGOA SANTA,313760,Acrilamida,MG,2,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
LAGOA VERMELHA,431130,Acrilamida,RS,26,4,9,13,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4
LAGOAO,431125,Acrilamida,RS,8,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAGOINHA,352630,Acrilamida,SP,23,6,6,11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
LAGUNA,420940,Acrilamida,SC,117,0,35,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2
LAGUNA CARAPA,500525,Acrilamida,MS,16,0,7,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
LAJEADO,431140,Acrilamida,RS,45,2,41,2,0,0,0,1,0,0,0,8,0,0,2,3,0,0,0,13
LAJEADO GRANDE,420945,Acrilamida,SC,45,0,16,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
LAJEDAO,291890,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
LAPA,411320,Acrilamida,PR,95,0,34,61,0,0,0,1,0,0,7,0,0,0,2,0,0,0,0,9
LARANJAL,411325,Acrilamida,PR,5,0,4,0,1,0,1,1,0.2,0,1,0,0,0,0,0,0,0,0,1
LARANJAL PAULISTA,352640,Acrilamida,SP,50,16,15,19,0,0,0,1,0,0,4,0,0,0,2,0,0,0,2,8
LARANJEIRAS,280360,Acrilamida,SE,1,1,0,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,1
LARANJEIRAS DO SUL,411330,Acrilamida,PR,30,10,10,10,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,4
LAURENTINO,420950,Acrilamida,SC,4,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
LAURO MULLER,420960,Acrilamida,SC,19,0,2,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAVRAS DO SUL,431150,Acrilamida,RS,20,2,11,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAVRINHAS,352660,Acrilamida,SP,19,3,5,9,2,0,2,1,125,0,0,0,0,0,1,0,0,0,0,1
LEANDRO FERREIRA,313830,Acrilamida,MG,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
LEBON REGIS,420970,Acrilamida,SC,60,0,11,38,11,0,11,1,0.18333333333333332,0,2,0,0,0,0,0,0,0,0,2
LEOBERTO LEAL,420980,Acrilamida,SC,28,0,2,24,2,0,2,1,0.07142857142857142,0,1,0,0,0,0,0,0,0,0,1
LEOPOLIS,411340,Acrilamida,PR,16,0,9,5,2,0,2,1,125,0,0,0,0,0,0,0,0,0,0,0
LIBERATO SALZANO,431160,Acrilamida,RS,30,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
