municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_2019399,cnae_2073800,cnae_2092401,cnae_2092403,cnae_2093200,cnae_2094100,cnae_2110600,cnae_2121101,cnae_2122000,cnae_2449199,cnae_2452100,cnae_2539001,cnae_3831999,total_canes
CONCEICAO DO TOCANTINS,170560,Antimônio,TO,10,0,0,9,0,1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEICAO DOS OUROS,311780,Antimônio,MG,21,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CONCHAS,351230,Antimônio,SP,22,12,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CONCORDIA,420430,Antimônio,SC,39,1,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,53
CONDE,290860,Antimônio,BA,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
CONDEUBA,290870,Antimônio,BA,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CONDOR,430570,Antimônio,RS,58,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
CONEGO MARINHO,311783,Antimônio,MG,13,11,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFINS,311787,Antimônio,MG,13,11,0,0,1,1,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,13,1,14
CONGONHAL,311790,Antimônio,MG,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
CONGONHAS,311800,Antimônio,MG,71,70,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,22,5,31
CONGONHINHAS,410600,Antimônio,PR,30,0,16,12,2,0,2,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CONQUISTA,311820,Antimônio,MG,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CONSELHEIRO LAFAIETE,311830,Antimônio,MG,56,40,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33,7,42
CONSELHEIRO MAIRINCK,410610,Antimônio,PR,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CONSTANTINA,430580,Antimônio,RS,50,0,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
CONTENDA,410620,Antimônio,PR,30,1,19,8,2,0,2,0.06896551724137931,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,13
CONTENDAS DO SINCORA,290880,Antimônio,BA,5,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORACAO DE JESUS,311880,Antimônio,MG,27,20,0,1,4,2,6,0.8571428571428571,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CORBELIA,410630,Antimônio,PR,57,1,29,26,1,0,1,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15
CORDISBURGO,311890,Antimônio,MG,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
CORINTO,311910,Antimônio,MG,34,6,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
CORNELIO PROCOPIO,410640,Antimônio,PR,63,4,44,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,21,3,27
COROADOS,351250,Antimônio,SP,21,8,10,2,1,0,1,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,14
CORONEL BICACO,430590,Antimônio,RS,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CORONEL DOMINGOS SOARES,410645,Antimônio,PR,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
CORONEL FREITAS,420440,Antimônio,SC,23,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CORONEL MACEDO,351260,Antimônio,SP,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL MARTINS,420445,Antimônio,SC,21,2,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Antimônio,MS,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
CORONEL VIVIDA,410650,Antimônio,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
CORONEL XAVIER CHAVES,311970,Antimônio,MG,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
CORREGO DANTA,311980,Antimônio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CORREGO DO OURO,520570,Antimônio,GO,5,1,2,0,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORREIA PINTO,420455,Antimônio,SC,32,0,2,26,4,0,4,125,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,15
CORUMBA,500320,Antimônio,MS,16,1,9,4,2,0,2,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,31
CORUMBAIBA,520590,Antimônio,GO,50,8,19,6,17,0,17,0.40476190476190477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBATAI DO SUL,410655,Antimônio,PR,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTEGIPE,290940,Antimônio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Antimônio,SP,37,3,22,12,0,0,0,0,0,0,0,1,0,0,15,0,4,8,3,1,6,106,14,158
COTIPORA,430595,Antimônio,RS,26,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COXIM,500330,Antimônio,MS,71,0,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,18,4,25
CRAVOLANDIA,290950,Antimônio,BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRICIUMA,420460,Antimônio,SC,20,0,2,18,0,0,0,0,0,1,2,1,3,0,8,0,2,0,0,6,6,233,23,285
CRISOLITA,312015,Antimônio,MG,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISOPOLIS,290960,Antimônio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CRISSIUMAL,430600,Antimônio,RS,21,0,18,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5
CRISTAIS,312020,Antimônio,MG,18,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CRISTAL,430605,Antimônio,RS,17,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CRISTALANDIA,170610,Antimônio,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CRISTALIA,312030,Antimônio,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CRISTALINA,520620,Antimônio,GO,24,5,2,3,14,0,14,0.7368421052631579,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,21
CRISTIANO OTONI,312040,Antimônio,MG,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CRISTIANOPOLIS,520630,Antimônio,GO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CRISTOPOLIS,290970,Antimônio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIXAS,520640,Antimônio,GO,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
CROMINIA,520650,Antimônio,GO,19,0,7,3,9,0,9,0.47368421052631576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CRUCILANDIA,312060,Antimônio,MG,21,6,8,0,6,1,7,0.4666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
CRUZ ALTA,430610,Antimônio,RS,37,0,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,4,34
CRUZ MACHADO,410680,Antimônio,PR,57,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
CRUZALIA,351330,Antimônio,SP,17,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DA FORTALEZA,312070,Antimônio,MG,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Antimônio,PR,72,0,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CRUZEIRO DO OESTE,410660,Antimônio,PR,38,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
CRUZEIRO DO SUL,410670,Antimônio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CRUZEIRO DO SUL,430620,Antimônio,RS,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,27
CRUZILIA,312080,Antimônio,MG,31,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,13
CRUZMALTINA,410685,Antimônio,PR,55,1,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBATAO,351350,Antimônio,SP,48,2,13,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,5,63
CUMARI,520660,Antimônio,GO,10,4,3,0,2,1,3,0.5,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNHA PORA,420470,Antimônio,SC,20,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,8
CUNHATAI,420475,Antimônio,SC,36,2,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Antimônio,PA,77,9,30,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3,1,10
CURITIBA,410690,Antimônio,PR,104,0,66,30,8,0,8,0.07692307692307693,0,3,4,5,5,0,22,0,7,47,10,16,30,1316,91,1556
CURITIBANOS,420480,Antimônio,SC,36,6,2,21,7,0,7,0.23333333333333334,0,0,0,0,0,2,0,0,0,1,0,0,1,22,1,27
CURIUVA,410700,Antimônio,PR,52,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
CURRAL DE DENTRO,312087,Antimônio,MG,38,30,5,0,3,0,3,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURVELO,312090,Antimônio,MG,99,7,63,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,4,54
DAMIANOPOLIS,520670,Antimônio,GO,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Antimônio,GO,4,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DARIO MEIRA,291000,Antimônio,BA,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Antimônio,RS,34,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELFINOPOLIS,312120,Antimônio,MG,26,16,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DELMIRO GOUVEIA,270240,Antimônio,AL,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
DEODAPOLIS,500345,Antimônio,MS,79,1,33,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
DERRUBADAS,430632,Antimônio,RS,30,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DESCANSO,420490,Antimônio,SC,35,0,8,26,1,0,1,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DESTERRO DO MELO,312150,Antimônio,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DIAMANTE D'OESTE,410715,Antimônio,PR,37,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DIAMANTE DO NORTE,410710,Antimônio,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
DIAMANTE DO SUL,410712,Antimônio,PR,19,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Antimônio,MG,4,4,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,14,0,15
DIANOPOLIS,170700,Antimônio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
DIAS D'AVILA,291005,Antimônio,BA,62,60,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,100,6,114
DILERMANDO DE AGUIAR,430637,Antimônio,RS,19,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Antimônio,SC,29,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,6
DIORAMA,520710,Antimônio,GO,13,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DIRCE REIS,351385,Antimônio,SP,24,7,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Antimônio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINO,312200,Antimônio,MG,22,2,12,2,6,0,6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DIVINO DAS LARANJEIRAS,312210,Antimônio,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DIVINO DE SAO LOURENCO,320180,Antimônio,ES,3,0,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DIVINOLANDIA,351390,Antimônio,SP,66,16,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
DIVINOPOLIS,312230,Antimônio,MG,38,10,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,26,187,30,248
DIVINOPOLIS DE GOIAS,520830,Antimônio,GO,8,6,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
DIVISA ALEGRE,312235,Antimônio,MG,16,16,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4
DIVISA NOVA,312240,Antimônio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVISOPOLIS,312245,Antimônio,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Antimônio,RS,145,36,106,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,10
DOIS IRMAOS DO BURITI,500348,Antimônio,MS,27,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
DOIS VIZINHOS,410720,Antimônio,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,23
DOLCINOPOLIS,351420,Antimônio,SP,22,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Antimônio,RS,19,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Antimônio,RS,20,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,27
DOM SILVERIO,312270,Antimônio,MG,22,4,14,2,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DOMINGOS MARTINS,320190,Antimônio,ES,40,7,2,20,11,0,11,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
DONA EMMA,420510,Antimônio,SC,20,0,2,17,1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
DONA EUSEBIA,312290,Antimônio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
DONA FRANCISCA,430670,Antimônio,RS,19,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DORES DO INDAIA,312320,Antimônio,MG,20,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
DORES DO RIO PRETO,320200,Antimônio,ES,15,0,0,14,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
DOURADINA,410725,Antimônio,PR,60,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
DOURADINA,500350,Antimônio,MS,32,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
DOURADO,351430,Antimônio,SP,46,15,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DOURADOS,500370,Antimônio,MS,187,0,174,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,174,11,188
DOUTOR CAMARGO,410730,Antimônio,PR,17,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
DOUTOR MAURICIO CARDOSO,430673,Antimônio,RS,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DOUTOR PEDRINHO,420515,Antimônio,SC,41,0,7,32,2,0,2,0.04878048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DOVERLANDIA,520725,Antimônio,GO,30,7,10,5,8,0,8,0.34782608695652173,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DUAS BARRAS,330160,Antimônio,RJ,25,2,0,17,6,0,6,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DURANDE,312352,Antimônio,MG,10,2,6,0,2,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECHAPORA,351470,Antimônio,SP,17,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ECOPORANGA,320210,Antimônio,ES,62,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,11
EDEALINA,520735,Antimônio,GO,18,5,5,1,7,0,7,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EDEIA,520740,Antimônio,GO,16,1,6,3,5,1,6,0.4,0.06666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,7,0,8
ELDORADO,351480,Antimônio,SP,104,30,13,55,6,0,6,0.08108108108108109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ELDORADO,500375,Antimônio,MS,25,1,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ELDORADO DOS CARAJAS,150295,Antimônio,PA,16,0,12,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,7
ELIAS FAUSTO,351490,Antimônio,SP,55,24,15,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,11,1,20
ELISIO MEDRADO,291030,Antimônio,BA,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBU-GUACU,351510,Antimônio,SP,47,20,11,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,25,2,32
EMILIANOPOLIS,351512,Antimônio,SP,20,3,4,12,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENCANTADO,430680,Antimônio,RS,61,0,55,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,1,18
ENCRUZILHADA,291040,Antimônio,BA,7,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
ENCRUZILHADA DO SUL,430690,Antimônio,RS,18,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,15
ENEAS MARQUES,410740,Antimônio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
ENGENHEIRO BELTRAO,410750,Antimônio,PR,72,0,40,31,1,0,1,0.013888888888888888,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1,13
ENGENHEIRO NAVARRO,312380,Antimônio,MG,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ENTRE RIOS,291050,Antimônio,BA,18,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
ENTRE RIOS,420517,Antimônio,SC,14,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ENTRE RIOS DE MINAS,312390,Antimônio,MG,53,47,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ENTRE RIOS DO SUL,430695,Antimônio,RS,33,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ENTRE-IJUIS,430693,Antimônio,RS,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
EREBANGO,430697,Antimônio,RS,39,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
ERECHIM,430700,Antimônio,RS,82,3,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,250,6,262
ERVAL GRANDE,430720,Antimônio,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ERVAL SECO,430730,Antimônio,RS,11,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ERVAL VELHO,420520,Antimônio,SC,20,3,5,10,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
ERVALIA,312400,Antimônio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
ESMERALDA,430740,Antimônio,RS,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESPERA FELIZ,312420,Antimônio,MG,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
ESPERANCA NOVA,410752,Antimônio,PR,21,1,10,8,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ESPINOSA,312430,Antimônio,MG,25,10,5,0,10,0,10,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
ESPIRITO SANTO DO PINHAL,351518,Antimônio,SP,26,8,6,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31,2,36
ESPLANADA,291060,Antimônio,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
ESPUMOSO,430750,Antimônio,RS,119,3,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,21
ESTACAO,430755,Antimônio,RS,71,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,10
ESTANCIA VELHA,430760,Antimônio,RS,13,1,12,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,27,5,40
ESTEIO,430770,Antimônio,RS,17,2,12,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,115,6,129
ESTIVA,312450,Antimônio,MG,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
ESTRELA,430780,Antimônio,RS,148,22,124,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,74,6,83
ESTRELA D'OESTE,351520,Antimônio,SP,43,13,16,13,1,0,1,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ESTRELA DO NORTE,351530,Antimônio,SP,25,8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO NORTE,520750,Antimônio,GO,6,4,1,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTRELA DO SUL,312480,Antimônio,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
EUCLIDES DA CUNHA,291070,Antimônio,BA,11,11,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,5,0,6
EUCLIDES DA CUNHA PAULISTA,351535,Antimônio,SP,47,19,12,15,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
EUNAPOLIS,291072,Antimônio,BA,9,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,48,2,53
EXTREMA,312510,Antimônio,MG,16,9,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,26,2,35
FAGUNDES VARELA,430786,Antimônio,RS,35,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
FARIA LEMOS,312530,Antimônio,MG,5,0,2,0,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAROL,410755,Antimônio,PR,16,0,10,3,3,0,3,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FARROUPILHA,430790,Antimônio,RS,67,1,60,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,72,5,83
FARTURA,351540,Antimônio,SP,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,9
FATIMA,291075,Antimônio,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FATIMA DO SUL,500380,Antimônio,MS,44,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
FAXINAL,410760,Antimônio,PR,21,4,10,5,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,6
FAXINAL DO SOTURNO,430800,Antimônio,RS,37,2,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
FAXINAL DOS GUEDES,420530,Antimônio,SC,28,0,4,23,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
FAXINALZINHO,430805,Antimônio,RS,30,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
